date,open,high,low,close,volume
2007-01-03,2.5968,2.6055,2.4647,2.5219,37265793
2007-01-04,2.5293,2.5865,2.5224,2.5778,25496821
2007-01-05,2.5812,2.5941,2.54,2.5595,25120766
2007-01-08,2.5868,2.604,2.5664,2.5721,23987813
2007-01-09,2.6016,2.7981,2.5625,2.7858,100792858
2007-01-10,2.8514,2.9432,2.8123,2.9191,88863056
2007-01-11,2.8871,2.9124,2.8618,2.8829,43341748
2007-01-12,2.8466,2.8607,2.8056,2.8475,39504017
2007-01-16,2.8793,2.9266,2.8724,2.9221,37438421
2007-01-17,2.9359,2.9371,2.8534,2.8574,49541692
2007-01-18,2.7717,2.7719,2.6799,2.6805,71160530
2007-01-19,2.6673,2.6979,2.6518,2.6633,41062361
2007-01-22,2.6826,2.6832,2.5775,2.6118,43757087
2007-01-23,2.5799,2.6335,2.5733,2.579,36335613
2007-01-24,2.6085,2.6227,2.5905,2.6091,27921347
2007-01-25,2.6215,2.6633,2.5889,2.5956,27263911
2007-01-26,2.6215,2.6293,2.5577,2.5694,29698550
2007-01-29,2.5971,2.6076,2.5739,2.5863,27134789
2007-01-30,2.601,2.6027,2.5654,2.5745,17392916
2007-01-31,2.5537,2.588,2.5384,2.5799,25761841
2007-02-01,2.5949,2.5962,2.5501,2.5501,19992383
2007-02-02,2.5314,2.5654,2.5188,2.5504,18703748
2007-02-05,2.5369,2.5649,2.5261,2.5261,17419802
2007-02-06,2.5414,2.542,2.4936,2.5324,26012586
2007-02-07,2.5423,2.5995,2.5143,2.5926,32104912
2007-02-08,2.5709,2.6034,2.5703,2.5935,20434461
2007-02-09,2.5844,2.5941,2.5041,2.5059,25897081
2007-02-12,2.5408,2.5633,2.5167,2.5543,21789745
2007-02-13,2.5627,2.5667,2.5369,2.5489,17483769
2007-02-14,2.5469,2.5773,2.5451,2.567,15287233
2007-02-15,2.5712,2.5767,2.5514,2.5643,10944030
2007-02-16,2.5654,2.5703,2.5477,2.5528,12033449
2007-02-20,2.5474,2.5929,2.5327,2.5851,18589059
2007-02-21,2.5874,2.6931,2.5868,2.6843,34767065
2007-02-22,2.7325,2.7328,2.6642,2.6937,25225294
2007-02-23,2.6832,2.7187,2.6738,2.6805,15585509
2007-02-26,2.7036,2.7084,2.6365,2.6636,18533048
2007-02-27,2.5971,2.6206,2.5101,2.5258,34482247
2007-02-28,2.4977,2.5759,2.4977,2.5462,27669976
2007-03-01,2.5288,2.6576,2.5204,2.62,42598994
2007-03-02,2.6112,2.6343,2.5642,2.5703,25880201
2007-03-05,2.5847,2.6678,2.5808,2.5977,25245357
2007-03-06,2.6422,2.6575,2.6301,2.6539,21763143
2007-03-07,2.6498,2.6775,2.6317,2.6399,18847533
2007-03-08,2.666,2.67,2.632,2.6483,15378324
2007-03-09,2.6723,2.6739,2.6302,2.6474,13597649
2007-03-12,2.6504,2.7081,2.648,2.7045,21950722
2007-03-13,2.6906,2.7264,2.6602,2.6602,26117584
2007-03-14,2.6663,2.7084,2.6458,2.7084,23971821
2007-03-15,2.7073,2.7193,2.6877,2.6955,16837585
2007-03-16,2.6947,2.7081,2.688,2.6961,17204954
2007-03-19,2.7157,2.755,2.6961,2.7424,21455619
2007-03-20,2.749,2.7638,2.7403,2.7529,14713113
2007-03-21,2.7684,2.8288,2.7581,2.8249,20671274
2007-03-22,2.8207,2.8396,2.7987,2.8276,16897432
2007-03-23,2.8093,2.8309,2.8077,2.8144,13568947
2007-03-26,2.8285,2.886,2.8077,2.8845,26030944
2007-03-27,2.8803,2.914,2.859,2.8728,28049341
2007-03-28,2.8553,2.8709,2.8032,2.8059,28358043
2007-03-29,2.8345,2.8345,2.7755,2.8213,21839922
2007-03-30,2.8372,2.8493,2.7912,2.796,18073053
2007-04-02,2.8329,2.8363,2.7992,2.8182,15106600
2007-04-03,2.833,2.8659,2.8217,2.8439,17573027
2007-04-04,2.857,2.8631,2.8327,2.8369,14347966
2007-04-05,2.8323,2.8492,2.8143,2.8492,10698614
2007-04-09,2.8652,2.8679,2.7999,2.8182,12438806
2007-04-10,2.819,2.8367,2.8111,2.8364,10607197
2007-04-11,2.8258,2.8274,2.7786,2.7864,16522068
2007-04-12,2.7697,2.7779,2.7301,2.7743,19761526
2007-04-13,2.7355,2.7506,2.7102,2.7157,21665774
2007-04-16,2.7255,2.7536,2.7159,2.7515,18328054
2007-04-17,2.7686,2.7776,2.6995,2.719,22628251
2007-04-18,2.7133,2.734,2.6964,2.7205,13964829
2007-04-19,2.7141,2.746,2.7033,2.7165,12817155
2007-04-20,2.7352,2.7439,2.725,2.7376,15732374
2007-04-23,2.7563,2.8228,2.7511,2.814,23481598
2007-04-24,2.8276,2.9007,2.7475,2.8059,31756047
2007-04-25,2.8358,2.8709,2.8228,2.8695,35725924
2007-04-26,3.057,3.0846,2.9582,2.9745,52296850
2007-04-27,2.9546,3.0078,2.9398,3.007,21047736
2007-04-30,3.0121,3.0395,2.9994,3.0034,18553282
2007-05-01,2.997,3.0199,2.9657,2.9934,16025497
2007-05-02,2.9988,3.0256,2.9934,3.0211,15201473
2007-05-03,3.0313,3.053,3.0097,3.0214,17336333
2007-05-04,3.0335,3.0576,3.0244,3.0338,11495476
2007-05-07,3.0419,3.1403,3.0398,3.1273,25927334
2007-05-08,3.1138,3.1644,3.1123,3.1616,23593317
2007-05-09,3.1572,3.2188,3.1566,3.2164,21600126
2007-05-10,3.2089,3.2754,3.1876,3.2303,36030114
2007-05-11,3.2423,3.2841,3.2134,3.2724,19672065
2007-05-14,3.2988,3.3103,3.2576,3.291,19619271
2007-05-15,3.2974,3.3163,3.2044,3.2357,28725095
2007-05-16,3.2661,3.2751,3.1123,3.2303,33908797
2007-05-17,3.2246,3.3064,3.2246,3.2935,22127777
2007-05-18,3.3172,3.3295,3.3034,3.3109,18698458
2007-05-21,3.3196,3.3841,3.3118,3.3699,19256704
2007-05-22,3.3852,3.4231,3.3708,3.4168,17225728
2007-05-23,3.4313,3.4607,3.3883,3.3973,27426722
2007-05-24,3.3949,3.4446,3.3215,3.3311,26704330
2007-05-25,3.3705,3.4241,3.3554,3.4193,19048195
2007-05-29,3.4442,3.4565,3.3912,3.4412,19431375
2007-05-30,3.4396,3.5775,3.4165,3.5742,44491367
2007-05-31,3.6133,3.6765,3.5974,3.647,39033062
2007-06-01,3.6443,3.647,3.5597,3.5631,26640673
2007-06-04,3.5701,3.6633,3.5481,3.6513,26683595
2007-06-05,3.6537,3.6922,3.6263,3.6916,27709709
2007-06-06,3.6805,3.7332,3.67,3.7208,33471696
2007-06-07,3.7613,3.8402,3.7072,3.7337,57631068
2007-06-08,3.7864,3.7867,3.6802,3.7464,37366929
2007-06-11,3.7918,3.7964,3.5975,3.617,56403966
2007-06-12,3.5917,3.6627,3.5604,3.6227,42930760
2007-06-13,3.6459,3.6471,3.4728,3.536,51802097
2007-06-14,3.5269,3.5947,3.5035,3.5736,29288757
2007-06-15,3.6299,3.6314,3.607,3.6263,24412475
2007-06-18,3.71,3.7671,3.6876,3.7644,27403315
2007-06-19,3.7524,3.762,3.6988,3.7214,28379425
2007-06-20,3.7277,3.7514,3.6564,3.6579,27009359
2007-06-21,3.6624,3.7403,3.6329,3.7286,26092532
2007-06-22,3.7271,3.7452,3.6829,3.7016,19015686
2007-06-25,3.7374,3.7644,3.6432,3.6817,29052761
2007-06-26,3.7311,3.7316,3.5727,3.6007,40476192
2007-06-27,3.6296,3.6727,3.589,3.6681,29332161
2007-06-28,3.6823,3.6862,3.6112,3.6281,25222950
2007-06-29,3.6706,3.7317,3.6441,3.6727,34242244
2007-07-02,3.6428,3.6741,3.5901,3.6491,29938680
2007-07-03,3.6714,3.8339,3.6564,3.827,34983118
2007-07-05,3.8761,4.0016,3.8728,3.995,43728107
2007-07-06,4.0063,4.0127,3.9242,3.9814,26322826
2007-07-09,3.9839,3.9995,3.8876,3.9221,29968093
2007-07-10,3.8785,4.0476,3.8764,3.9829,37767697
2007-07-11,3.9745,4.0235,3.9516,3.9841,24730204
2007-07-12,4.028,4.0397,3.984,4.0346,21204021
2007-07-13,4.0636,4.1484,4.0482,4.1448,27313346
2007-07-16,4.1647,4.2125,4.1379,4.1559,28171072
2007-07-17,4.1619,4.201,4.1378,4.1803,21365107
2007-07-18,4.1587,4.1662,4.094,4.1566,22776742
2007-07-19,4.2221,4.2375,4.2026,4.2131,22055326
2007-07-20,4.2627,4.3389,4.2131,4.3259,35142260
2007-07-23,4.3127,4.3702,4.2411,4.3244,31191613
2007-07-24,4.1794,4.2432,4.0371,4.0593,54026481
2007-07-25,4.1334,4.1637,4.0626,4.1306,45025402
2007-07-26,4.391,4.4689,4.1216,4.3937,65803879
