date,open,high,low,close,volume
2004-08-19,2.4908,2.5917,2.39,2.4989,22245996
2004-08-20,2.5274,2.7167,2.503,2.6975,11374427
2004-08-23,2.7605,2.8262,2.7159,2.7246,9093652
2004-08-24,2.7719,2.7794,2.5794,2.6118,7594923
2004-08-25,2.614,2.6897,2.5871,2.6399,4576852
2004-08-26,2.6178,2.6885,2.6066,2.6875,3534055
2004-08-27,2.6925,2.7052,2.6322,2.6437,3094208
2004-08-30,2.6273,2.6273,2.5406,2.5406,2588777
2004-08-31,2.5483,2.5829,2.5443,2.5495,2451669
2004-09-01,2.5577,2.5644,2.4823,2.4967,4551833
2004-09-02,2.4678,2.5495,2.4641,2.5281,7530750
2004-09-03,2.5142,2.5339,2.4736,2.4908,2566474
2004-09-07,2.5157,2.5404,2.4808,2.5299,2912790
2004-09-08,2.5089,2.566,2.503,2.5478,2483358
2004-09-09,2.5528,2.5581,2.5155,2.5481,2023225
2004-09-10,2.5304,2.6539,2.5229,2.6233,4333139
2004-09-13,2.6619,2.7,2.6514,2.6773,3907240
2004-09-14,2.6818,2.7894,2.6596,2.7767,5395631
2004-09-15,2.7535,2.8449,2.7446,2.7894,5336487
2004-09-16,2.7978,2.884,2.7806,2.8384,4615459
2004-09-17,2.8496,2.9261,2.828,2.9261,4718470
2004-09-20,2.9127,3.0285,2.9082,2.9727,5294428
2004-09-21,2.9936,2.9991,2.9266,2.9348,3600663
2004-09-22,2.9251,2.9804,2.9092,2.9483,3776378
2004-09-23,2.9597,3.0541,2.9144,3.009,4252000
2004-09-24,3.0128,3.0907,2.9827,2.9844,4544906
2004-09-27,2.9777,3.0106,2.9338,2.9453,3519982
2004-09-28,3.0148,3.1729,2.9939,3.1595,8433282
2004-09-29,3.1513,3.3627,3.1438,3.2646,15200932
2004-09-30,3.2431,3.2949,3.2127,3.2277,6852885
2004-10-01,3.2536,3.3432,3.2102,3.3019,7534011
2004-10-04,3.3826,3.4088,3.338,3.3637,6500687
2004-10-05,3.3537,3.4501,3.2934,3.4461,7463743
2004-10-06,3.4287,3.4481,3.3871,3.414,6665514
2004-10-07,3.4011,3.4838,3.4008,3.4581,7031124
2004-10-08,3.4551,3.4788,3.4125,3.4302,5514385
2004-10-11,3.4123,3.4584,3.3336,3.3687,5219521
2004-10-12,3.3495,3.4272,3.3224,3.422,5830391
2004-10-13,3.5694,3.5751,3.4887,3.5091,9847039
2004-10-14,3.5121,3.546,3.4508,3.5365,5202647
2004-10-15,3.61,3.6237,3.5353,3.5891,6572764
2004-10-18,3.5664,3.7158,3.5168,3.7148,6992387
2004-10-19,3.7483,3.7956,3.6698,3.6845,9020981
2004-10-20,3.6844,3.7106,3.4767,3.4989,11323214
2004-10-21,3.5858,3.739,3.527,3.7203,14572071
2004-10-22,4.2419,4.4872,4.0864,4.2944,36726512
2004-10-25,4.3903,4.8423,4.2974,4.6672,32608478
