date,open,high,low,close,volume
2016-07-14,12.6,12.72,12.24,12.28,5361381
2016-07-15,12.31,12.47,11.85,11.9,5174826
2016-07-18,11.95,12,11.65,11.85,4384456
2016-07-19,11.98,11.98,10.985,11.01,9468669
2016-07-20,11.09,11.13,10.88,10.9,6044671
2016-07-21,11.09,11.49,11.03,11.23,7211503
2016-07-22,11.32,11.52,11.06,11.08,4989930
2016-07-25,11.11,11.5,11.0567,11.41,4933164
2016-07-26,11.41,11.54,11.25,11.32,4094044
2016-07-27,11.47,11.83,11.42,11.57,10651710
2016-07-28,12.15,13.28,11.7535,13.02,24144990
2016-07-29,12.88,12.89,12.23,12.64,11416580
2016-08-01,12.58,13.3,12.47,12.94,7627229
2016-08-02,12.9,13.32,12.53,12.55,6741919
2016-08-03,12.73,13.5,12.61,13.3,7598110
2016-08-04,13.5,13.8275,13.191,13.53,7028942
2016-08-05,13.59,14.14,13.59,13.77,7028163
2016-08-08,14,14.8,13.9611,14.29,10105640
2016-08-09,14.68,14.87,14.39,14.54,7261541
2016-08-10,14.67,14.68,13.93,14.14,6787920
2016-08-11,14.35,14.36,13.96,13.97,5203683
2016-08-12,14.03,14.33,13.828,14.3,4978086
2016-08-15,14.3,16.25,14.3,15.61,17270619
2016-08-16,15.7,16,15.25,15.39,8865678
2016-08-17,15.51,15.62,15.19,15.41,5290478
2016-08-18,15.43,15.49,14.9,15.12,5692153
2016-08-19,15.01,15.21,14.6,15.12,6261020
2016-08-22,14.98,15.9,14.9,15.2,6708201
2016-08-23,15.61,15.99,15.47,15.51,8029373
2016-08-24,15.79,15.8,14.91,15,6494400
2016-08-25,14.96,15.11,14.65,14.89,4047770
2016-08-26,14.9,15.18,14.51,14.72,4452581
2016-08-29,14.75,15.2,14.66,14.87,3643380
2016-08-30,15,15.32,14.75,14.86,4731199
2016-08-31,14.94,15.05,14.56,14.65,3844610
2016-09-01,14.94,14.95,14.14,14.53,5564388
2016-09-02,14.57,14.7,14.04,14.13,5783303
2016-09-06,14.22,14.66,14.1,14.57,4836110
2016-09-07,14.44,14.66,13.66,13.88,7384010
2016-09-08,14.12,14.12,13.38,13.58,6152744
2016-09-09,13.48,13.55,12.83,12.85,7071689
2016-09-12,12.61,13.53,12.58,13.2,6565725
2016-09-13,13.13,13.1699,12.62,12.8,5320396
2016-09-14,12.81,13.25,12.81,13.07,5120418
2016-09-15,13.21,14.23,13.13,14.16,8134941
2016-09-16,14.66,15.07,14.51,14.96,17463529
2016-09-19,15.6,16.44,15,15.31,35136406
2016-09-20,15.69,15.7,13.891,14.26,22467789
2016-09-21,14.62,15.05,14.26,14.97,10497590
2016-09-22,15.3,16.42,15.13,16.05,18576539
2016-09-23,16.12,17.4068,16.1,17.15,20180990
2016-09-26,16.82,17.18,16.51,16.92,8883319
2016-09-27,16.72,17.35,15.845,16.79,14304850
2016-09-28,16.57,17.2,16.47,16.99,7946133
2016-09-29,16.86,16.91,16.4,16.6,6570057
2016-09-30,16.8,17,16.6,16.68,5501695
2016-10-03,16.87,16.98,16.345,16.74,7279344
2016-10-04,16.83,17.62,16.6,16.89,11129770
2016-10-05,16.9,17.68,16.9,17.13,9229091
2016-10-06,17.06,17.13,16.61,16.79,5927257
2016-10-07,16.66,16.769,16.06,16.34,5574972
2016-10-10,16.43,16.5,15.65,15.66,7150599
2016-10-11,15.55,15.68,14.85,15.02,7883744
2016-10-12,14.95,14.95,14.18,14.3,7241610
2016-10-13,13.76,14.39,13.59,13.84,10582570
2016-10-14,14.2,14.2,13.5,13.6,6852149
2016-10-17,14.05,14.29,13.59,14.07,7759884
2016-10-18,14.25,14.58,14.11,14.41,6694333
2016-10-19,14.75,14.87,14.55,14.7,5016292
2016-10-20,14.66,15.03,14.55,14.75,4946281
2016-10-21,14.59,15.12,14.5,14.93,4051459
2016-10-24,14.65,14.75,13.8,13.88,9195445
2016-10-25,13.91,14.109,13.6646,13.88,3964114
2016-10-26,13.84,14.3,13.8,14.13,3632690
2016-10-27,14.2,14.34,13.7,13.73,3747896
2016-10-28,13.75,14.04,13.56,13.6,2929183
2016-10-31,13.54,13.6,12.72,12.78,7439877
2016-11-01,12.72,13,12.25,12.48,5520679
2016-11-02,12.32,13.09,12.32,12.84,5882591
2016-11-03,12.55,12.6,11.82,11.94,9147319
2016-11-04,10,12.47,9.9,11.16,29462189
2016-11-07,11.3,11.3499,10.29,10.64,10583760
2016-11-08,10.64,11.16,10.44,10.86,5786068
2016-11-09,9.82,10.42,9.75,10.41,7585388
2016-11-10,10.37,10.67,10.07,10.21,3592830
2016-11-11,10.17,10.36,9.95,10.28,3710371
2016-11-14,10.25,10.5,10.2,10.35,3181171
2016-11-15,10.35,10.4,10.01,10.14,4568455
2016-11-16,10.08,10.14,9.86,9.9,4744180
2016-11-17,9.89,10.09,9.77,9.98,4195287
2016-11-18,10.01,10.07,9.8698,10.02,3437002
2016-11-21,9.95,10.23,9.85,9.91,4822883
2016-11-22,9.93,10,9.55,9.79,5536950
2016-11-23,9.74,9.94,9.61,9.88,2293932
2016-11-25,9.9,10.08,9.84,9.89,1793302
2016-11-28,9.75,9.92,9.72,9.81,2597929
2016-11-29,9.8,10.07,9.73,9.83,2961143
2016-11-30,10.08,10.4,9.98,9.98,6192217
2016-12-01,10.08,10.24,9.7,9.82,4786484
2016-12-02,10.02,10.02,9.59,9.7,3398923
2016-12-05,9.72,9.8811,9.65,9.66,4108580
2016-12-06,9.64,9.79,9.61,9.75,2334370
2016-12-07,9.75,9.79,9.33,9.37,5008517
2016-12-08,9.34,9.39,9.01,9.2,4799339
2016-12-09,9.17,9.42,9.15,9.23,3808094
2016-12-12,9.35,9.35,8.75,8.81,4895798
2016-12-13,9.02,9.02,8.8,8.82,3499262
2016-12-14,8.85,8.96,8.75,8.78,2406685
2016-12-15,8.71,8.75,8.54,8.69,3554560
2016-12-16,8.75,9.6,8.6898,9.01,6698766
2016-12-19,9.05,9.1799,8.8,8.92,3342346
2016-12-20,8.92,9.12,8.87,8.9,2451908
2016-12-21,8.84,8.9499,8.8,8.9,1694644
2016-12-22,8.81,9.6,8.75,9.01,7663238
2016-12-23,9.04,9.19,8.81,9.19,3544954
2016-12-27,9.12,9.28,9.02,9.09,3009431
2016-12-28,9.02,9.19,8.85,8.95,3243468
2016-12-29,8.9,8.97,8.71,8.84,3442152
2016-12-30,8.8,8.85,8.65,8.71,4272509
2017-01-03,8.82,8.97,8.67,8.77,3289042
2017-01-04,8.81,9.12,8.78,9.02,3644581
2017-01-05,9.12,9.55,9.06,9.35,5786074
2017-01-06,9.14,9.25,8.995,9.07,4864609
2017-01-09,9.1,9.25,9,9.06,2625686
2017-01-10,9.05,9.15,8.98,9.02,3039515
2017-01-11,9.05,9.21,9.0203,9.12,2496858
2017-01-12,9.1,9.25,9.04,9.15,1959491
2017-01-13,9.2,9.42,9.17,9.27,2838883
2017-01-17,9.29,9.54,9.2,9.42,2982307
2017-01-18,9.41,9.47,9.12,9.22,2319815
2017-01-19,9.17,9.34,9.12,9.17,2149680
2017-01-20,9.2,9.55,9.19,9.51,4287323
2017-01-23,9.42,9.47,9.2,9.4,3264685
2017-01-24,9.87,10.44,9.81,10.13,10523470
2017-01-25,10.16,10.26,9.83,10,3797735
2017-01-26,10.03,10.2,9.96,10.03,2615573
2017-01-27,10.02,10.15,9.95,10.07,1759226
2017-01-30,9.98,10.88,9.85,10.8,6650444
2017-01-31,10.7,10.75,10.37,10.75,5417740
2017-02-01,10.77,10.95,10.5,10.57,4350918
2017-02-02,10.75,11.1,10.59,10.97,8426908
2017-02-03,9.68,9.85,9.4,9.58,15208860
2017-02-06,9.55,9.8,9.5,9.51,4912899
2017-02-07,9.51,9.65,9.33,9.34,4701490
2017-02-08,9.32,9.39,8.8,8.84,7532514
2017-02-09,8.96,8.98,8.72,8.74,3661364
2017-02-10,8.83,8.9,8.62,8.9,3300076
2017-02-13,8.98,9.09,8.9301,9.05,3054757
2017-02-14,9.08,9.26,9.03,9.17,3223333
2017-02-15,9.49,9.49,9.2,9.44,3146544
2017-02-16,9.4,9.44,9.21,9.33,2620935
2017-02-17,9.33,9.33,9.12,9.25,1877478
2017-02-21,9.31,9.59,9.27,9.46,2931317
2017-02-22,9.4,9.6,9.35,9.51,1749112
2017-02-23,9.6,9.75,9.51,9.57,2117314
2017-02-24,9.51,9.57,9.3201,9.43,2983547
2017-02-27,9.32,9.74,9.32,9.66,2900168
2017-02-28,9.55,9.6,9.38,9.4,1910049
2017-03-01,9.36,9.465,9.29,9.42,2592734
2017-03-02,9.32,9.56,9.26,9.27,1830548
2017-03-03,9.15,9.23,8.77,8.84,3859453
2017-03-06,8.56,8.725,7.95,8.14,9923482
2017-03-07,8.16,8.34,7.91,7.93,3697775
2017-03-08,7.95,8.12,7.95,7.98,2681964
2017-03-09,7.94,8.065,7.94,7.96,2551458
2017-03-10,8,8.115,7.96,7.97,2464886
2017-03-13,7.97,7.98,7.525,7.57,5352464
2017-03-14,7.54,7.57,7.16,7.24,5482225
2017-03-15,7.24,7.3699,7.145,7.35,3886715
2017-03-16,8.22,8.64,8.05,8.51,20003680
2017-03-17,8.51,8.58,8.26,8.57,6284038
2017-03-20,8.53,8.73,8.4,8.66,3893582
2017-03-21,8.66,8.7,8.27,8.4,3521130
2017-03-22,8.34,8.38,8.16,8.33,2059255
2017-03-23,8.3,8.471,8.3,8.36,1610185
2017-03-24,8.43,8.43,8.26,8.3,1620213
2017-03-27,8.3,8.63,8.22,8.43,2915407
2017-03-28,8.44,8.58,8.34,8.57,2087244
2017-03-29,8.57,8.85,8.57,8.73,2997432
2017-03-30,8.76,8.8,8.52,8.66,1968605
2017-03-31,8.6,8.76,8.58,8.7,1975879
2017-04-03,8.68,8.75,8.57,8.61,1923186
2017-04-04,8.54,8.62,8.38,8.43,1880117
2017-04-05,8.45,8.64,8.38,8.43,1984048
2017-04-06,8.38,8.66,8.34,8.51,2841702
2017-04-07,8.46,8.75,8.46,8.55,1870382
2017-04-10,8.55,8.74,8.52,8.69,1583704
2017-04-11,8.75,9.31,8.73,8.95,6494826
2017-04-12,9.01,9.0699,8.65,8.69,2581457
2017-04-13,8.6,8.8,8.57,8.63,1284464
2017-04-17,8.63,8.75,8.5601,8.75,1215660
2017-04-18,8.66,8.78,8.61,8.75,1384784
2017-04-19,8.74,8.98,8.72,8.88,2078623
2017-04-20,8.93,9.08,8.92,8.97,2371465
2017-04-21,8.99,9.01,8.83,8.87,1943751
2017-04-24,8.93,9.085,8.71,9.01,2719745
2017-04-25,9.02,9.215,9.02,9.18,2488516
2017-04-26,9.21,9.4,9.1,9.14,3376345
2017-04-27,9.33,9.36,8.91,8.94,7894565
2017-04-28,8.99,9,8.2,8.25,10542920
2017-05-01,8.24,8.63,8.23,8.52,5031648
2017-05-02,8.52,8.79,8.46,8.68,3797423
2017-05-03,8.61,8.67,8.39,8.4,2558773
2017-05-04,8.42,8.4375,8.12,8.26,4312125
2017-05-05,8.25,8.519,8.21,8.42,2669083
2017-05-08,8.57,8.57,8.31,8.41,1797316
2017-05-09,8.41,8.45,8.28,8.31,1825008
2017-05-10,8.31,8.64,8.31,8.53,2526952
2017-05-11,8.54,8.64,8.37,8.62,2364018
2017-05-12,8.62,8.69,8.53,8.54,1812037
2017-05-15,8.57,8.8,8.5467,8.64,2042015
2017-05-16,8.64,8.73,8.59,8.68,1580094
2017-05-17,8.6,8.6001,8.37,8.39,2314109
2017-05-18,8.3,8.36,8.21,8.25,1932336
2017-05-19,8.26,8.575,8.26,8.52,2297260
2017-05-22,8.53,9.18,8.49,8.86,5430922
2017-05-23,8.84,8.87,8.52,8.63,3508350
2017-05-24,8.62,8.65,8.5,8.54,1907832
2017-05-25,8.55,8.62,8.41,8.47,1650807
2017-05-26,8.47,8.4831,8.32,8.4,1161830
2017-05-30,8.35,8.38,8.23,8.3,1703397
2017-05-31,8.29,8.32,8.02,8.22,2563280
2017-06-01,8.22,8.55,8.2008,8.42,1921281
2017-06-02,8.35,8.48,8.32,8.41,973626
2017-06-05,8.4,8.59,8.2802,8.57,1390469
2017-06-06,8.5,8.62,8.375,8.49,1547551
2017-06-07,8.53,8.65,8.42,8.43,1364239
2017-06-08,8.44,8.59,8.4,8.53,976368
2017-06-09,8.52,8.66,8.33,8.37,1785354
2017-06-12,8.31,8.55,8.3,8.53,1504979
2017-06-13,8.53,8.57,8.43,8.43,1181428
2017-06-14,8.46,8.47,8.3,8.34,1509402
2017-06-15,8.22,8.305,8.07,8.07,1549497
2017-06-16,8.04,8.06,7.57,7.77,4628504
2017-06-19,7.77,7.8906,7.62,7.84,2711160
2017-06-20,7.86,7.99,7.71,7.8,3051015
2017-06-21,7.88,7.88,7.6,7.7,1937700
2017-06-22,7.63,7.83,7.62,7.74,1518170
2017-06-23,7.73,7.86,7.68,7.82,4992853
2017-06-26,7.76,8.35,7.75,8.19,3515137
2017-06-27,8.15,8.46,8.12,8.14,2619021
2017-06-28,8.15,8.37,8.12,8.25,1494710
2017-06-29,8.23,8.33,8.15,8.28,1317709
2017-06-30,8.26,8.31,8.09,8.13,1789648
2017-07-03,8.15,8.2,7.999,8.19,688266
2017-07-05,8.04,8.12,7.91,8.05,1623800
2017-07-06,7.98,8.26,7.95,8,1925567
2017-07-07,8,8.11,7.9,7.98,1706326
2017-07-10,7.98,8.08,7.9247,7.96,1126753
2017-07-11,7.97,8.06,7.89,7.95,1284566
2017-07-12,8,8.12,7.99,8.12,1333725
2017-07-13,8.05,8.49,8.05,8.44,2722348
2017-07-14,8.4,8.44,8.06,8.18,2878744
2017-07-17,8.18,8.27,8.075,8.11,1658142
2017-07-18,8.08,8.11,7.92,7.99,2036580
2017-07-19,7.95,8.095,7.9462,8.07,1742100
2017-07-20,8.02,8.28,8.005,8.01,2081366
2017-07-21,8.04,8.07,7.91,7.96,1778315
2017-07-24,7.96,8.05,7.88,8.03,1873786
2017-07-25,8.02,8.19,7.96,8.09,2416259
2017-07-26,8.1,8.26,8.0589,8.18,1667121
2017-07-27,8.21,8.23,7.92,8.06,1775657
2017-07-28,8.01,8.13,7.96,8.1,1684379
2017-07-31,8.31,8.39,8.13,8.24,2217472
2017-08-01,8.3,8.33,7.96,8.08,3277326
2017-08-02,8.06,8.16,7.98,8.03,1591471
2017-08-03,8.05,8.38,8.05,8.26,6293753
2017-08-04,9.54,10.38,9.31,9.85,28773539
2017-08-07,9.8,10.365,9.51,10.16,13177480
2017-08-08,10.11,10.85,10.09,10.52,9429736
2017-08-09,10.35,10.4,9.951,10.16,6149664
2017-08-10,10.17,10.42,9.75,9.78,5070707
2017-08-11,9.79,9.98,9.61,9.88,4592811
2017-08-14,9.9,9.9496,9.58,9.74,3925488
2017-08-15,10.02,10.48,9.8789,9.88,7031661
2017-08-16,9.9,9.93,9.29,9.41,6268833
2017-08-17,9.43,9.6099,9.3,9.32,3145757
2017-08-18,9.34,9.36,9.03,9.05,4398963
2017-08-21,9.03,9.12,8.71,8.76,3786523
2017-08-22,8.8,9.1,8.67,9.06,4052116
2017-08-23,8.99,9.28,8.91,9.21,2642343
2017-08-24,9.25,9.31,9.06,9.13,2001993
2017-08-25,9.43,9.44,9.13,9.13,3102979
2017-08-28,9.13,9.29,8.9,9.26,2471048
2017-08-29,9.12,9.24,9.06,9.15,1753902
2017-08-30,9.15,9.19,9.05,9.11,1716980
2017-08-31,9.11,9.22,9.1,9.21,1968887
2017-09-01,9.18,9.45,8.99,9,3390220
2017-09-05,8.91,9.05,8.79,8.93,2619043
2017-09-06,8.96,9.04,8.77,8.9,2883621
2017-09-07,10.01,10.89,9.8302,10,32831809
2017-09-08,10.1,10.4,9.83,10.26,9736038
2017-09-11,10.36,11.37,10.31,10.92,17263840
2017-09-12,11.09,11.29,10.6,10.89,8559349
2017-09-13,10.72,11.61,10.68,11.41,10084460
2017-09-14,11.36,11.6,11.06,11.23,7962108
2017-09-15,11.2,11.69,11,11.52,7228973
2017-09-18,11.63,11.73,11.05,11.12,6437971
2017-09-19,11.17,11.27,10.87,10.97,4780535
2017-09-20,10.92,11.03,10.6101,10.66,4202335
2017-09-21,10.9,11.47,10.88,10.94,8364203
2017-09-22,10.98,11.16,10.54,10.75,5603930
2017-09-25,10.91,11.4,10.88,11.18,9287124
2017-09-26,11.28,11.87,11.25,11.51,9039200
2017-09-27,11.55,11.89,11.27,11.69,7732651
2017-09-28,11.79,11.8,11.29,11.48,8134660
2017-09-29,11.48,11.57,10.96,11.01,8016117
2017-10-02,10.82,11.25,10.7,11.12,5197557
2017-10-03,11.11,11.235,10.99,11.09,3064672
2017-10-04,11.06,11.41,10.16,10.39,12572810
2017-10-05,10.59,10.639,9.61,9.67,13511600
2017-10-06,9.76,10.18,9.7501,9.88,10384660
2017-10-09,9.95,10.175,9.71,9.81,6707849
2017-10-10,9.84,9.95,9.705,9.75,4432355
2017-10-11,9.71,9.79,9.42,9.63,5905468
2017-10-12,9.59,9.69,9.47,9.58,4238271
2017-10-13,9.62,9.74,9.535,9.56,4044047
2017-10-16,9.59,9.6,9.03,9.08,10704730
2017-10-17,9.1,9.4,9.05,9.23,8553937
2017-10-18,9.68,9.85,9.46,9.47,10130650
2017-10-19,9.49,9.54,9.17,9.21,4491632
2017-10-20,9.31,9.53,9.24,9.48,4450273
2017-10-23,9.44,9.54,9.31,9.4,4252090
2017-10-24,9.41,9.51,9.37,9.4,2878688
2017-10-25,9.71,9.86,9.46,9.62,6838124
2017-10-26,9.65,10.03,9.64,9.86,7459131
2017-10-27,10.07,10.1,9.76,10,4675924
2017-10-30,10.08,10.5,10.05,10.34,7304961
2017-10-31,10.68,10.7,10.22,10.43,6392150
2017-11-01,10.47,10.67,10.29,10.67,9845968
2017-11-02,9.57,9.64,9,9.58,11725550
2017-11-03,9.43,9.6,9.1,9.13,7997088
2017-11-06,9.21,9.22,8.7901,8.91,8970212
2017-11-07,9,9,8.81,8.85,4102625
2017-11-08,8.77,8.83,8.61,8.73,4244668
2017-11-09,8.7,8.72,8.32,8.35,4675360
2017-11-10,8.41,8.65,8.36,8.51,4172406
2017-11-13,8.54,8.6598,8.35,8.38,3654652
2017-11-14,8.38,8.47,8.13,8.21,4082958
2017-11-15,8.04,8.23,7.96,8.16,3324419
2017-11-16,8.14,8.33,8.14,8.27,2539376
2017-11-17,8.3,8.46,8.26,8.29,3018708
2017-11-20,8.31,8.5,8.31,8.39,3179744
2017-11-21,8.45,8.6775,8.4005,8.61,3137257
2017-11-22,8.74,8.78,8.57,8.58,3691073
2017-11-24,8.61,8.67,8.5,8.58,1440685
2017-11-27,8.53,8.74,8.37,8.63,3079717
2017-11-28,8.63,8.77,8.6172,8.72,2496558
2017-11-29,8.68,8.72,8.4,8.63,3156482
2017-11-30,8.69,8.69,8.46,8.54,2335490
2017-12-01,8.47,8.71,8.45,8.51,2749308
2017-12-04,8.56,8.645,8.21,8.23,3683688
2017-12-05,8.2,8.295,8.04,8.14,3256236
2017-12-06,8.08,8.16,7.89,7.92,4015920
2017-12-07,7.95,8.08,7.91,7.99,2846644
2017-12-08,7.98,8.2,7.94,8.02,3175210
2017-12-11,8.01,8.225,8.01,8.2,2454499
2017-12-12,8.16,8.22,8.02,8.03,2362716
2017-12-13,8.01,8.18,7.99,7.99,4181669
2017-12-14,7.99,8.08,7.84,7.84,4356297
2017-12-15,7.88,8.13,7.87,8.04,4892812
2017-12-18,8.02,8.16,8.005,8.06,3612004
2017-12-19,8.06,8.125,8.0187,8.08,2294092
2017-12-20,8.03,8.13,7.93,8.04,2464137
2017-12-21,8.02,8.265,8.013,8.08,2998808
2017-12-22,8.21,8.22,7.85,7.95,3367483
