date,open,high,low,close,volume
1995-07-05,4.4735,4.5439,4.4647,4.4911,3303139
1995-07-06,4.4911,4.6144,4.4383,4.61,3675849
1995-07-07,4.6232,4.8081,4.5791,4.8081,5562715
1995-07-10,4.8345,4.9666,4.8081,4.9501,5875679
1995-07-11,4.9226,4.927,4.8511,4.8522,3658622
1995-07-12,4.993,5.1075,4.9138,5.0899,5973408
1995-07-13,5.0723,5.353,5.0195,5.1868,8276258
1995-07-14,5.0547,5.3409,5.0195,5.3189,6187734
1995-07-17,5.3893,5.5214,5.3188,5.3849,9840333
1995-07-18,5.4334,5.451,5.1428,5.1604,9682193
1995-07-19,4.5792,4.8434,4.4383,4.5968,31536655
1995-07-20,4.6143,4.72,4.5351,4.5439,14084540
1995-07-21,4.5616,4.6232,4.4295,4.4339,10740001
1995-07-24,4.4647,4.7553,4.446,4.7377,8637620
1995-07-25,4.9314,4.9403,4.7906,4.861,9930360
1995-07-26,4.905,4.9226,4.7553,4.7993,6339721
1995-07-27,4.8082,4.9128,4.7818,4.8434,3710094
1995-07-28,4.8373,4.8726,4.7052,4.7316,4838603
1995-07-31,4.7404,4.7668,4.5642,4.5818,4573398
1995-08-01,4.5819,4.5819,4.4056,4.4585,6665320
1995-08-02,4.5378,4.5818,4.2999,4.3351,9560961
1995-08-03,4.2118,4.4232,4.1677,4.3792,8315103
1995-08-04,4.388,4.4409,4.3528,4.3704,4844321
1995-08-07,4.4056,4.5025,4.388,4.4761,3635862
1995-08-08,4.529,4.5994,4.5025,4.5642,4097023
1995-08-09,4.6963,4.7051,4.617,4.6611,4991130
1995-08-10,4.6612,4.67,4.5026,4.529,4258176
1995-08-11,4.6347,4.6875,4.5906,4.6611,4819700
1995-08-14,4.6524,4.7228,4.6083,4.6788,3538776
1995-08-15,4.7228,4.7405,4.5554,4.6171,4776013
1995-08-16,4.67,4.7316,4.5818,4.7052,4746282
1995-08-17,4.7228,4.7316,4.6127,4.6259,4661004
1995-08-18,4.6699,4.6699,4.5466,4.573,5180730
1995-08-21,4.573,4.5818,4.2206,4.247,12364614
1995-08-22,4.3087,4.3968,4.247,4.388,9131721
1995-08-23,4.4232,4.4585,4.3693,4.3968,4627498
1995-08-24,4.3968,4.4056,4.2647,4.3021,7050653
1995-08-25,4.3087,4.3087,4.2117,4.2558,6419706
1995-08-28,4.2603,4.2911,4.1237,4.1325,5484417
1995-08-29,4.1413,4.2118,4.0267,4.1501,10065829
1995-08-30,4.2294,4.291,4.1677,4.2558,6251208
1995-08-31,4.2999,4.3703,4.2734,4.3263,3590842
1995-09-01,4.3175,4.3528,4.2735,4.2911,2447530
1995-09-05,4.3263,4.4937,4.2911,4.4893,4199363
1995-09-06,4.529,4.5642,4.3968,4.4056,5142921
1995-09-07,4.5807,4.6523,4.5289,4.5818,8869519
1995-09-08,4.6171,4.6347,4.5378,4.6259,4487656
1995-09-11,4.6171,4.6964,4.6171,4.6259,3792684
1995-09-12,4.6699,4.6787,4.5642,4.573,3730570
1995-09-13,4.573,4.6259,4.5333,4.573,3727919
1995-09-14,4.5994,4.5994,4.4761,4.4893,3755731
1995-09-15,4.4937,4.5466,4.3175,4.3792,7048879
1995-09-18,4.3879,4.4408,4.2998,4.432,4454669
1995-09-19,4.3527,4.4937,4.3439,4.4188,4912647
1995-09-20,4.4717,4.4937,4.3968,4.4188,4459712
1995-09-21,4.3704,4.4232,4.2999,4.3098,5014416
1995-09-22,4.2822,4.3131,4.247,4.2646,4829191
1995-09-25,4.2646,4.2646,4.1501,4.2294,5350417
1995-09-26,4.2559,4.3407,4.1854,4.2118,4939684
1995-09-27,4.1677,4.1897,4.0355,4.1809,9397769
1995-09-28,4.203,4.3616,4.1942,4.3616,5881540
1995-09-29,4.388,4.4232,4.2294,4.2382,5398881
1995-10-02,4.2723,4.3186,4.1677,4.1677,4226093
1995-10-03,4.1843,4.2382,4.1501,4.2162,5660830
1995-10-04,4.1413,4.2206,4.1061,4.1369,5048056
1995-10-05,4.1325,4.2911,4.1149,4.2911,5592178
1995-10-06,4.4497,4.4673,4.3616,4.3704,8204848
1995-10-09,4.3439,4.3439,4.1853,4.2382,5576008
1995-10-10,4.106,4.3439,4.0707,4.3439,8349622
1995-10-11,4.4584,4.476,4.3703,4.432,5539408
1995-10-12,4.4232,4.5289,4.4056,4.4937,6380702
1995-10-13,4.5466,4.5554,4.4056,4.4232,5634572
1995-10-16,4.4145,4.5114,4.388,4.4497,3890996
1995-10-17,4.5202,4.6259,4.4321,4.6171,9422324
1995-10-18,4.7228,4.8109,4.6788,4.7757,10038571
1995-10-19,4.7493,4.8109,4.6876,4.7933,4662922
1995-10-20,4.7668,4.8021,4.6964,4.7316,3721152
1995-10-23,4.67,4.7669,4.6513,4.7581,3815559
1995-10-24,4.7933,4.8197,4.7581,4.7845,3969752
1995-10-25,4.7845,4.7845,4.6788,4.6876,3379527
