date,open,high,low,close,volume
2005-12-01,10.1931,10.3951,10.1931,10.346,24506190
2005-12-02,10.4184,10.4184,10.2414,10.2655,23086747
2005-12-05,10.2333,10.2494,9.992,10.0644,35550075
2005-12-06,10.0886,10.161,9.992,10.0725,25589621
2005-12-07,10.0724,10.1207,9.9437,10.0644,32015638
2005-12-08,10.0564,10.0725,9.8392,10.0081,59534311
2005-12-09,10.0001,10.1208,10.0001,10.0564,36116555
2005-12-12,10.0644,10.346,10.0564,10.3299,38216123
2005-12-13,10.2093,10.346,10.1369,10.3219,32348158
2005-12-14,10.3058,10.3783,10.2009,10.3057,29632177
2005-12-15,10.2414,10.338,10.169,10.3219,31529142
2005-12-16,10.0644,10.2414,9.646,10.2092,163761924
2005-12-19,10.0966,10.1538,9.8794,9.9116,71159965
2005-12-20,9.9599,9.992,9.8552,9.8794,71255481
2005-12-21,9.9115,9.9116,9.7667,9.7989,33385215
2005-12-22,9.7748,9.9921,9.7748,9.9116,51957460
2005-12-23,9.9517,10.0644,9.9035,9.9276,22545403
2005-12-27,9.9196,9.984,9.8472,9.9357,16820014
2005-12-28,9.9357,10.0081,9.8714,9.8794,17231267
2005-12-29,9.8552,9.9437,9.8391,9.8874,17005556
2005-12-30,9.8151,9.976,9.7829,9.8231,18180450
2006-01-03,9.8552,10.2977,9.8311,10.1368,45111296
2006-01-04,10.1046,10.2816,10.0885,10.1529,45370907
2006-01-05,10.1368,10.3943,10.1368,10.2897,42318465
2006-01-06,10.2978,10.5793,10.2575,10.5552,76476577
2006-01-09,10.4425,10.531,10.2897,10.362,38707352
2006-01-10,10.2816,10.3058,10.1448,10.1529,35314070
2006-01-11,10.169,10.2016,10.0322,10.1368,48916811
2006-01-12,10.2495,10.2495,10.0403,10.0725,35188006
2006-01-13,10.0564,10.0885,9.9518,10.0644,26741828
2006-01-17,10.0242,10.0886,9.9759,10.0081,18173759
2006-01-18,9.9517,9.9678,9.8391,9.9276,35996877
2006-01-19,10.0323,10.1368,10.0159,10.0724,33502471
2006-01-20,10.0403,10.0805,9.8633,9.8874,43251882
2006-01-23,9.9035,10.0564,9.823,9.8955,29724039
2006-01-24,9.9276,9.9683,9.807,9.815,38933322
2006-01-25,9.9759,10.1046,9.9276,10.0644,74814454
2006-01-26,10.1046,10.1368,9.984,10.0081,50240163
2006-01-27,10.0162,10.0805,9.9679,9.984,49548589
2006-01-30,9.992,10.1771,9.8794,10.1449,49946521
2006-01-31,10.1047,10.1248,9.984,10.1127,42889426
2006-02-01,9.9839,10.177,9.9678,10.1207,43588811
2006-02-02,10.0886,10.1208,9.9438,9.9679,33723057
2006-02-03,9.8955,9.9599,9.799,9.8231,51181901
2006-02-06,9.8311,9.8874,9.7023,9.8552,49692750
2006-02-07,9.8231,9.9679,9.8231,9.9518,41148738
2006-02-08,10.0081,10.161,10.0081,10.1127,43661314
2006-02-09,10.1046,10.2977,10.0242,10.2092,86186007
2006-02-10,10.1127,10.2977,10.1046,10.2092,48005842
2006-02-13,10.1529,10.2333,9.9759,10.0483,30274571
2006-02-14,10.0403,10.0483,9.9357,9.9759,38478317
2006-02-15,9.9518,10.0564,9.9356,9.984,30256389
2006-02-16,9.992,10.0483,9.9437,10.0081,23352533
2006-02-17,9.9598,10.0082,9.9115,9.9759,28589008
2006-02-21,9.9356,9.9598,9.8552,9.9276,33255851
2006-02-22,9.9438,10.0483,9.8794,10.0403,32694805
2006-02-23,10.0081,10.0885,9.9759,9.9759,31831273
2006-02-24,9.9679,10.0483,9.9598,10.0242,25178441
2006-02-27,10.0644,10.0644,9.9437,10.0242,31042535
2006-02-28,9.984,10.1207,9.9679,9.992,34893636
2006-03-01,10.0484,10.3219,10.0484,10.3058,58239335
2006-03-02,10.2575,10.3942,10.2012,10.2977,50866289
2006-03-03,10.161,10.4023,10.1449,10.2897,42127189
2006-03-06,10.2575,10.4265,10.2414,10.2736,39060688
2006-03-07,10.2495,10.3943,10.2334,10.3621,29103118
2006-03-08,10.3058,10.4184,10.2567,10.346,31281977
2006-03-09,10.3782,10.4587,10.3138,10.3299,39232263
2006-03-10,10.3621,10.4587,10.3299,10.3782,30922193
2006-03-13,10.3943,10.4184,10.338,10.3782,19547315
2006-03-14,10.3862,10.4425,10.354,10.4264,35706558
2006-03-15,10.4103,10.7161,10.3782,10.6517,61225006
2006-03-16,10.7322,10.8931,10.6759,10.8609,65928611
2006-03-17,10.9091,11.0378,10.7977,10.9413,56827477
2006-03-20,10.9896,11.1594,10.9172,11.0379,98780519
2006-03-21,10.7321,11.1835,10.6356,10.9574,116262605
2006-03-22,10.9172,11.2639,10.9011,11.2551,66850469
2006-03-23,11.1907,11.2551,11.0459,11.1022,41109333
2006-03-24,11.0862,11.1264,11.0379,11.0942,28291448
2006-03-27,11.1264,11.2149,11.0781,11.1344,29479765
2006-03-28,11.1264,11.1425,10.9172,10.9333,38227403
2006-03-29,10.9333,11.1103,10.8046,11.0379,44963305
2006-03-30,11.0378,11.1424,10.9735,11.0861,40627268
2006-03-31,11.0378,11.1424,11.0137,11.0137,26717056
2006-04-03,11.062,11.1505,11.062,11.0942,21649007
2006-04-04,11.1183,11.1907,11.0861,11.1344,24802133
2006-04-05,11.1183,11.2632,11.1103,11.2229,55402353
2006-04-06,11.2309,11.2309,11.0539,11.1022,26368731
2006-04-07,11.1223,11.1907,11.0379,11.062,23746904
2006-04-10,11.0459,11.1425,10.9575,11.1264,23261545
2006-04-11,11.1264,11.2631,11.0379,11.1344,35568994
2006-04-12,11.1344,11.1826,11.0459,11.0861,23497842
2006-04-13,11.062,11.0781,10.9896,11.0057,23889104
2006-04-17,10.9896,11.1264,10.9816,11.054,23306313
2006-04-18,11.0217,11.2711,11.0137,11.2631,33075036
2006-04-19,11.1344,11.5366,11.1102,11.5125,46701089
2006-04-20,11.3918,11.5125,11.3436,11.3838,25635561
2006-04-21,11.3919,11.6252,11.3838,11.4884,45203678
2006-04-24,11.4482,11.8046,11.416,11.6493,49341650
2006-04-25,11.7137,11.9309,11.7056,11.7861,47211288
2006-04-26,11.8263,11.8585,11.7619,11.8424,38090309
2006-04-27,11.8102,12.2366,11.7056,12.0113,87442351
2006-04-28,11.9792,12.0274,11.6815,11.7378,54371968
2006-05-01,11.7538,12.0354,11.609,11.7297,33323284
2006-05-02,11.7137,11.7298,11.5689,11.6091,23302408
2006-05-03,11.5608,11.6574,11.2712,11.5206,32830325
2006-05-04,11.5688,11.6412,11.432,11.4964,17566612
2006-05-05,11.5045,11.7217,11.4884,11.6252,21110687
2006-05-08,11.6091,11.7056,11.3999,11.4482,23878796
2006-05-09,11.4321,11.4884,11.3033,11.3516,17678745
2006-05-10,11.3194,11.5608,11.3114,11.4562,18964244
2006-05-11,11.416,11.4884,11.1022,11.1907,25177956
2006-05-12,11.0539,11.4401,10.893,11.247,31859131
2006-05-15,11.1264,11.2873,11.1022,11.239,20969673
2006-05-16,11.1907,11.4401,11.1586,11.416,34007791
2006-05-17,11.3274,11.3516,11.0619,11.1424,38603838
2006-05-18,11.2068,11.2551,10.6839,11.0781,37728710
2006-05-19,10.9494,11.2068,10.9092,11.0218,37321232
2006-05-22,10.885,11.0379,10.8609,10.9011,23572386
2006-05-23,10.9091,10.9735,10.8126,10.8367,21858694
2006-05-24,10.7643,11.1585,10.7514,11.0861,26536384
2006-05-25,11.07,11.3516,11.0217,11.3194,29888895
2006-05-26,11.3034,11.408,11.1988,11.3034,15022323
2006-05-30,11.2631,11.416,11.1666,11.2792,21169610
2006-05-31,11.2712,11.4643,11.239,11.4401,27565292
2006-06-01,11.3757,11.4562,11.2309,11.4401,30269679
2006-06-02,11.4401,11.4884,11.2953,11.3838,18447106
2006-06-05,11.3034,11.3516,11.1505,11.1505,18091026
2006-06-06,11.247,11.2631,10.9413,11.1183,25177172
2006-06-07,11.1546,11.1666,10.8609,10.8931,24459755
2006-06-08,10.8206,10.9333,10.6195,10.885,40931840
2006-06-09,10.8528,10.893,10.7241,10.8367,21512442
2006-06-12,10.8286,10.9252,10.6356,10.6597,29460815
2006-06-13,10.6758,10.8931,10.5391,10.5793,29182288
2006-06-14,10.5793,10.692,10.515,10.6115,22070119
2006-06-15,10.7241,11.1344,10.7,11.0218,38391727
2006-06-16,11.6413,12.0033,11.3355,11.416,93022783
2006-06-19,11.5447,11.7136,11.4079,11.4964,28639708
2006-06-20,11.6011,11.6493,11.4482,11.4643,24012552
2006-06-21,11.4964,11.9872,11.4884,11.6895,45774552
2006-06-22,11.7619,11.8263,11.4642,11.5286,39062705
2006-06-23,11.8102,12.124,11.6976,11.9872,58420611
2006-06-26,11.963,12.0113,11.6814,11.8021,26227838
2006-06-27,11.7539,11.8022,11.5286,11.6654,33666178
2006-06-28,11.6653,11.7699,11.6573,11.7297,20368126
2006-06-29,11.7539,11.955,11.585,11.8585,42140710
2006-06-30,11.8826,12.0435,11.6573,11.6573,39481926
2006-07-03,11.7539,11.9148,11.7539,11.9148,13652181
2006-07-05,11.77,11.8826,11.7056,11.7217,23747737
2006-07-06,11.6815,11.778,11.6113,11.6654,23118731
2006-07-07,11.6653,12.0515,11.601,11.8906,42824689
2006-07-10,11.8907,12.0516,11.5849,11.7378,26396414
2006-07-11,11.6453,11.7298,11.4965,11.6976,28264934
2006-07-12,11.6734,11.7378,11.3838,11.4401,21423309
2006-07-13,11.1666,11.4804,11.0781,11.3436,42614052
2006-07-14,11.3033,11.5769,11.2068,11.4964,32218153
2006-07-17,11.4562,11.6412,11.4401,11.601,26113763
2006-07-18,11.5769,11.9148,11.5447,11.8424,42160788
2006-07-19,11.9148,12.2366,11.8505,12.124,53357762
2006-07-20,12.1159,12.2607,11.9953,12.1642,38804773
2006-07-21,12.0918,12.301,12.0355,12.1642,45947604
2006-07-24,12.132,12.2044,12.0032,12.0515,38296883
2006-07-25,12.0193,12.1159,11.9067,12.0113,29719077
2006-07-26,12.0193,12.2205,11.8745,12.0837,28678442
2006-07-27,12.1319,12.2205,11.8986,11.963,29923864
2006-07-28,12.0114,12.1642,11.947,12.124,20784357
2006-07-31,12.0113,12.0918,11.9228,12.0435,28275091
2006-08-01,11.9872,12.0193,11.7056,11.8504,27198712
